LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive
Corvus cornix|NHMSYS0000530314|Hooded Crow|Animalia|Corvidae,Corvus cornix,"Linnaeus, 1758",SPECIES,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,5,
Cuculus canorus|NHMSYS0000530324|Cuckoo|Animalia|Cuculidae,Cuculus canorus,"Linnaeus, 1758",SPECIES,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,Cuculus canorus,9,
Falco tinnunculus|NHMSYS0000530358|Kestrel|Animalia|Falconidae,Falco tinnunculus,"Linnaeus, 1758",SPECIES,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,5,
Gavia immer|NBNSYS0000000220|Great Northern Diver|Animalia|Gaviidae,Gavia immer,"(Brünnich, 1764)",SPECIES,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,Gavia immer,3,
Larus argentatus|NBNSYS0000000038|Herring Gull|Animalia|Laridae,Larus argentatus,"Pontoppidan, 1763",SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus argentatus,5,
Linaria cannabina|NHMSYS0021004282|Linnet|Animalia|Fringillidae,Linaria cannabina,"(Linnaeus, 1758)",SPECIES,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,1,
Passer domesticus|NHMSYS0000530537|House Sparrow|Animalia|Passeridae,Passer domesticus,"(Linnaeus, 1758)",SPECIES,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,6,
Sciurus vulgaris|NBNSYS0000005108|Red Squirrel|Animalia|Sciuridae,Sciurus vulgaris,"Linnaeus, 1758",SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus vulgaris,5,
Thalasseus sandvicensis|NHMSYS0021274181|Sandwich Tern|Animalia|Laridae,Thalasseus sandvicensis,"(Latham, 1787)",SPECIES,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus sandvicensis,2,
Turdus philomelos|NHMSYS0000530678|Song Thrush|Animalia|Turdidae,Turdus philomelos,"Brehm, CL, 1831",SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus philomelos,5,
Turdus torquatus|NHMSYS0000530681|Ring Ouzel|Animalia|Turdidae,Turdus torquatus,"Linnaeus, 1758",SPECIES,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus torquatus,1,
