"Taxa","Site","Species"
"Mammal - Bats","South","Pipistrellus_nathusii"
"Mammal - Bats","South","Pipistrellus_pipistrellus"
"Mammal - Bats","South","Pipistrellus_pygmaeus"
"Mammal - Bats","South","Nyctalus_leisleri "
"Mammal - Bats","South","Nyctalus_leisleri"
"Mammal - Bats","South","Pipistrellus_nathusii "
"Mammal - Bats","South","Plecotus_auritus "
"Mammal - Bats","North","Pipistrellus_pipistrellus"
"Mammal - Bats","North","Pipistrellus_pygmaeus"
"Mammal - Bats","North","Pipistrellus pygmaeus"
