"Taxa","Site","Species"
"Plants","South","Nardus_stricta"
"Plants","South","Potentilla_erecta"
"Plants","South","Galium_saxatile"
"Plants","South","Holcus_lanatus"
"Plants","South","Pteridium_aquilinum"
"Plants","South","Rhytidiadelphus_triquetrus"
"Plants","South","Urtica_dioica"
"Plants","South","Viola_palustris"
"Plants","South","Agrostis_capillaris"
"Plants","South","Primula_vulgaris"
"Plants","South","Deschampsia_cespitosa"
"Plants","South","Polytrichum_commune"
"Plants","South","Carex"
"Plants","South","Trifolium_repens"
"Plants","South","Juncus_inflexus"
"Plants","South","Juncus_effusus"
"Plants","South","Myrica_gale"
"Plants","South","Sphagnum"
"Plants","North","Calluna_vulgaris"
"Plants","North","Erica_cinerea"
"Plants","North","Rhytidadelphus_triquetrus"
"Plants","North","Teucrium_scorodonia"
"Plants","North","Pteridium_aquilinum"
"Plants","North","Potentilla_erecta"
"Plants","North","Dicranum_scoparium"
"Plants","North","Avenella_flexuosa"
"Plants","North","Holcus_lanatus"
"Plants","North","Galium_mollugo"
"Plants","North","Digitalis_purpurea"
"Plants","North","Dicranum scoparium"
"Plants","North","Ranunculus_repens"
"Plants","North","Juncus_effusus"
"Plants","North","Cerastium fontanum"
"Plants","North","Anthoxanthum_odoratum"
"Plants","North","Deschampsia_cespitosa"
"Plants","North","Lysimachia nemorum"
"Plants","North","Viola_palustris"
"Plants","North","Rubus_fruticosus_L."
"Plants","North","Hypericum_perforatum"
"Plants","North","Oxalis"
"Plants","North","Agrostis_capillaris"
"Plants","North","Lonicera_periclymenum"
"Plants","North","Ulex_europaeus"
