Taxon,Current taxon name,Common name,Legislation giving protection,Schedule or Annex listing
Reptile,Vipera berus,Adder,WCA 1981,"Schedule 5 1, 4"
Fish,Alosa alosa,Allis shad,HR 1994,Schedule 3
Fish,Alosa alosa,Allis shad,WCA 1981,"Schedule 5 1,2,3a"
Vascular Plant,Lychnis alpina,Alpine catchfly,WCA 1981,Schedule 8
Moss,Mielichhoferia mielichhoferi  ,Alpine copper-moss,WCA 1981,Schedule 8
Vascular Plant,Erigeron borealis,Alpine fleabane,WCA 1981,Schedule 8
Vascular Plant,Gentiana nivalis,Alpine gentian,WCA 1981,Schedule 8
Lichen,Pertusaria bryontha   ,Alpine moss-pertusaria,WCA 1981,Schedule 8
Vascular Plant,Arabis alpina,Alpine rock-cress,WCA 1981,Schedule 8
Vascular Plant,Cicerbita alpina,Alpine sow-thistle,WCA 1981,Schedule 8
Lichen,Alectoria ochroleuca,Alpine sulphur-tresses,WCA 1981,Schedule 8
Vascular Plant,Woodsia alpina    ,Alpine woodsia ,WCA 1981,Schedule 8
Lichen,Nephroma arcticum  ,Arctic kidney-lichen,WCA 1981,Schedule 8
Fish,Salmo salar (only in fresh water),Atlantic salmon,HR 1994,Schedule 3
Crustacean,Austropotamobius pallipes,Atlantic stream (white-clawed) crayfish,WCA 1981,"Schedule 5 2, 4"
Bird,Recurvirostra avosetta ,Avocet,WCA 1981,Schedule 1 (Part I)
Mammal,Meles meles,Badger,PBA 1992,not applicable
Mammal,Meles meles,Badger,WCA 1981,Schedule 6
Moss,Sphagnum balticum ,Baltic bog-moss ,WCA 1981,Schedule 8
Fish,Barbus barbus,Barbel,HR 1994,Schedule 3
Bird,Tyto alba,Barn owl,WCA 1981,Schedule 1 (Part I)
Bird,Tyto alba,Barn owl,WCA 1981,Schedule 3 (Part I)
Fish,Cetorhinus maximus,Basking shark,WCA 1981,Schedule 5  
Mammal,Plecotus auritus,Bat - Brown long-eared,HR 1994,Schedule 2: European protected species
Mammal,Pipistrellus pipistrellus,Bat - Common pipistrelle,HR 1994,Schedule 2: European protected species
Mammal,Myotis daubentonii,Bat - Daubenton's,HR 1994,Schedule 2: European protected species
Mammal,Nyctalus leisleri,Bat - Leisler's,HR 1994,Schedule 2: European protected species
Mammal,Pipistrellus nathusii,Bat - Nathsius' pipistrelle,HR 1994,Schedule 2: European protected species
Mammal,Myotis nattereri,Bat - Natterer's ,HR 1994,Schedule 2: European protected species
Mammal,Nyctalus noctula,Bat - Noctule,HR 1994,Schedule 2: European protected species
Mammal,Pipistrellus pygmaeus,Bat - Soprano pipistrelle,HR 1994,Schedule 2: European protected species
Mammal,Myotis mystacinus,Bat - Whiskered,HR 1994,Schedule 2: European protected species
Mammal,Vespertilionidae spp ,Bats - All typical species,HR 1994,Schedule 2: European protected species
Mammal,Erignathus barbatus,Bearded seal,HR 1994,Schedule 3
Bird,Panurus biarmicus,Bearded tit ,WCA 1981,Schedule 1 (Part I)
Bird,Cygnus columbianus,Bewick’s swan,WCA 1981,Schedule 1 (Part I)
Bird,Botaurus stellaris,Bittern,WCA 1981,Schedule 1 (Part I)
Bird,Phoenicurus ochruros,Black redstart,WCA 1981,Schedule 1 (Part I)
Bird,Turdus merula,Blackbird,WCA 1981,Schedule 3 (Part I)
Bird,Podiceps nigricollis,Black-necked grebe,WCA 1981,Schedule 1 (Part I)
Bird,Limosa limosa,Black-tailed godwit,WCA 1981,Schedule 1 (Part I)
Bird,Gavia arctica,Black-throated diver,WCA 1981,Schedule 1 (Part I)
Moss,Saelania glaucescens  ,Blue dew-moss ,WCA 1981,Schedule 8
Vascular Plant,Phyllodoce caerulea,Blue heath,WCA 1981,Schedule 8
Vascular Plant,Hyacinthoides non-scripta,Bluebell,WCA 1981,Schedule 8 4
Bird,Luscinia svecica,Bluethroat,WCA 1981,Schedule 1 (Part I)
Moss,Orthotrichum obtusifolium,Blunt-leaved bristle-moss,WCA 1981,Schedule 8
Moss,Grimmia unicolor  ,Blunt-leaved grimmia,WCA 1981,Schedule 8
Bird,Fringilla montifringilla,Brambling,WCA 1981,Schedule 1 (Part I)
Bird,Fringilla montifringilla,Brambling,WCA 1981,Schedule 3 (Part I)
Moss,Cyclodictyon laetevirens,Bright-green cave-moss,WCA 1981,Schedule 8
Bird,Pyrrhula pyrrhula,Bullfinch,WCA 1981,Schedule 3 (Part I)
Lichen,Fuscopannaria ignobilis,Caledonian pannaria,WCA 1981,Schedule 8
Bird,Branta canadensis,Canada goose,WCA 1981,Schedule 2
Bird,Tetrao urogallus,Capercaillie,WCA 1981,Schedule 1 (Part I)
Mammal,Tursiops truncatus,Cetacean - Bottlenose dolphin ,HR 1994,Schedule 2: European protected species
Mammal,Cetacea,"Cetacean - Dolphins, porpoises and whales - All species",HR 1994,Schedule 2: European protected species
Mammal,Phocoena phocoena,Cetacean - Harbour or Common porpoise,HR 1994,Schedule 2: European protected species
Bird,Fringilla coelebs,Chaffinch,WCA 1981,Schedule 3 (Part I)
Butterfly,Carterocephalus palaemon,Chequered skipper,WCA 1981,Schedule 5 4
Bird,Pyrrhocorax pyrrhocorax,Chough,WCA 1981,Schedule 1 (Part I)
Lichen,Lecanactis hemisphaerica,Churchyard lecanactis,WCA 1981,Schedule 8
Lichen,Heterodermia propagulifera,Collaroid rosette-lichen,WCA 1981,Schedule 8
Amphibian,Rana temporaria,Common frog,WCA 1981,Schedule 5 4
Bird,Melanitta nigra,Common scoter,WCA 1981,Schedule 1 (Part I)
Mammal,Phoca vitulina,Common seal,HR 1994,Schedule 3
Bird,Gallinago gallinago,Common snipe,WCA 1981,Schedule 2 
Bird,Gallinago gallinago,Common snipe,WCA 1981,Schedule 3 (Part III)
Amphibian,Bufo bufo,Common toad,WCA 1981,Schedule 5 4
Bird,Fulica atra,Coot,WCA 1981,Schedule 2 
Bird,Fulica atra,Coot,WCA 1981,Schedule 3 (Part III)
Bird,Crex crex,Corncrake,WCA 1981,Schedule 1 (Part I)
Bird,Parus cristatus,Crested tit,WCA 1981,Schedule 1 (Part I)
Bird,Loxia spp,Crossbills (all species),WCA 1981,Schedule 1 (Part I)
Bird,Sylvia undata,Dartford warbler,WCA 1981,Schedule 1 (Part I)
Vascular Plant,Diapensia lapponica,Diapensia,WCA 1981,Schedule 8
Vascular Plant,Cystopteris dickieana,Dickie's bladder fern,WCA 1981,Schedule 8
Bird,Charadrius morinellus,Dotterel,WCA 1981,Schedule 1 (Part I)
Vascular Plant,Saxifraga cernua,Drooping saxifrage ,WCA 1981,Schedule 8
Butterfly,Hamearis lucina,Duke of Burgundy fritillary,WCA 1981,Schedule 5 4
Vascular Plant,Gentianella uliginosa,Dune gentian,WCA 1981,Schedule 8
Bird,Prunella modularis,Dunnock,WCA 1981,Schedule 3 (Part I)
Vascular Plant,Eleocharis parvula,Dwarf spike-rush,WCA 1981,Schedule 8
Mammal,Castor fiber,European beaver,HR 1994,Schedule 2
Lichen,Peltigera lepidophora ,Ear-lobed dog-lichen,WCA 1981,Schedule 8
Lichen,Gyalecta ulmi ,Elm gyalecta,WCA 1981,Schedule 8
Mollusc,Atrina fragilis,Fan mussel,WCA 1981,"Schedule 5 1, 2, 4, 5"
Vascular Plant,Melampyrum arvense,Field cow-wheat,WCA 1981,Schedule 8
Bird,Turdus pilaris,Fieldfare,WCA 1981,Schedule 1 (Part I)
Bird,Regulus ignicapillus,Firecrest,WCA 1981,Schedule 1 (Part I)
Lichen,Bryoria furcellata,Forked hair-lichen,WCA 1981,Schedule 8
Stonewort,Lamprothamnium papulosum,Foxtail stonewort,WCA 1981,Schedule 8
Mollusc,Margaritifera margaritifera,Freshwater pearl mussel,WCA 1981,Schedule 5 
Bird,Anas strepera,Gadwall,WCA 1981,Schedule 2
Bird,Anas querquedula,Garganey,WCA 1981,Schedule 1 (Part I)
Lichen,Catolechia wahlenbergii ,Goblin lights,WCA 1981,Schedule 8
Bird,Aquila chrysaetos,Golden eagle,WCA 1981,Schedule 1 (Part I)
Bird,Aquila chrysaetos,Golden eagle,WCA 1981,Schedule 1A
Bird,Aquila chrysaetos,Golden eagle,WCA 1981,Schedule A1
Bird,Aquila chrysaetos,Golden eagle,WCA 1981,Schedule 4
Lichen,Teloschistes flavicans,Golden hair-lichen,WCA 1981,Schedule 8
Bird,Oriolus oriolus,Golden oriole,WCA 1981,Schedule 1 (Part I)
Bird,Pluvialis apricaria,Golden plover,WCA 1981,Schedule 2
Bird,Pluvialis apricaria,Golden plover,WCA 1981,Schedule 3 (Part III)
Bird,Bucephala clangula,Goldeneye,WCA 1981,Schedule 1 (Part II)
Bird,Bucephala clangula,Goldeneye,WCA 1981,Schedule 2
Bird,Carduelis carduelis,Goldfinch,WCA 1981,Schedule 3 (Part I)
Bird,Accipter gentilis,Goshawk ,WCA 1981,Schedule 1 (Part I)
Bird,Accipter gentilis,Goshawk ,WCA 1981,Schedule 4
Vascular Plant,Lythrum hyssopifolia,Grass-poly,WCA 1981,Schedule 8
Fish,Thymallus thymallus,Grayling,HR 1994,Schedule 3
Amphibian,Triturus cristatus,Great crested newt,HR 1994,Schedule 2: European protected species
Bird,Gavia immer,Great Northern diver,WCA 1981,Schedule 1 (Part I)
Vascular Plant,Rhinanthus angustifolius ,Greater yellow-rattle ,WCA 1981,Schedule 8
Bird,Tringa ochropus,Green sandpiper,WCA 1981,Schedule 1 (Part I)
Moss,Buxbaumia viridis,Green shield-moss,WCA 1981,Schedule 8
Reptile,Chelonia mydas,Green turtle,HR 1994,Schedule 2: European protected species
